title,year,length,budget,rating,Genre
Chuck&Buck,2000,96,250000,6.6,Drama
"Chumscrubber, The",2005,102,6800000,4.5,Drama
Ciao America,2002,100,5000000,4.8,Romance
Cidade de Deus,2002,135,3300000,8.7,Drama
"Cider House Rules, The",1999,126,24000000,7.5,Romance
"Cinderella Story, A",2004,95,20000000,4.9,Romance
Cinedictum,2002,40,100000,7,Short
Citizen Ruth,1996,102,3000000,6.8,Drama
Citizen Shane,2004,59,4000,5,Documentary
Citizen Verdict,2003,97,10000000,4.8,Unknown
City Hall,1996,111,40000000,6.1,Drama
City by the Sea,2002,108,60000000,6.3,Drama
City of Angels,1998,114,55000000,6.2,Romance
City of Ghosts,2002,116,17500000,5.6,Unknown
City of Hope,1991,129,3000000,7.3,Drama
City of Industry,1997,97,8000000,5.9,Unknown
"Civil Action, A",1998,112,60000000,6.4,Drama
Civil Brand,2002,95,500000,4.1,Drama
Claire of the Moon,1992,107,130000,4.1,Romance
Class of 1999,1990,99,5200000,4.5,Action
Class of 83,2004,50,25000,9.6,Documentary
Claudine's Return,1998,91,2000000,3.8,Romance
Claustrophobia,2003,79,114000,4.2,Comedy
Clay Pigeons,1998,104,8000000,6.4,Drama
"Clean, Shaven",1994,79,60000,6.8,Drama
Clear and Present Danger,1994,141,65000000,6.8,Drama
Clerks.,1994,92,230000,7.9,Drama
Cliffhanger,1993,112,65000000,6,Action
Clifford's Really Big Movie,2004,73,70000,5.9,Animation
"Climb, The",2002,98,2500000,5.2,Drama
Clockers,1995,129,25000000,6.8,Drama
Clockstoppers,2002,94,26000000,5.1,Unknown
"Clown in Babylon, A",1999,105,150000,7.8,Drama
Club Dread,2004,119,9000000,5.2,Comedy
Club Fed,1990,93,360000,3.2,Comedy
Clubland,1999,94,4000000,4,Unknown
Clueless,1995,97,20000000,6.7,Romance
Coach Carter,2005,136,30000000,6.6,Drama
"Cockettes, The",2002,100,300000,6.6,Documentary
Code,2003,12,10000,6.2,Short
Code 46,2003,92,7500000,6.4,Romance
Codename: Simon,2004,10,50000,9.2,Short
Cog,2004,5,4000,9.6,Short
Coil,2001,79,12000,7.8,Drama
Cold Call,2001,14,20000,7.7,Short
Cold Dog Soup,1990,100,7000000,4.6,Comedy
Cold Heart,2001,95,3000000,4.1,Unknown
Cold Hearts,1999,90,900000,3.9,Unknown
Cold Mountain,2003,152,83000000,7.4,Romance
Collateral,2004,120,65000000,7.7,Drama
Collateral Damage,2002,108,85000000,5.2,Action
Color of Night,1994,133,40000000,4.7,Romance
"Comedians of Comedy, The",2005,103,500000,8.8,Documentary
Commandments,1997,88,5000000,5.4,Romance
Committed,2000,98,3000000,5.2,Drama
Company Jasmine,2001,55,150000,8.4,Documentary
Company Man,2000,86,16000000,4.8,Comedy
"Company, The",2003,112,15000000,6.2,Drama
"Comunidad, La",2000,110,2000000,7.2,Comedy
Con Air,1997,115,75000000,6.3,Action
"Confession, The",1998,20,15000,6.9,Short
"Confession, The",1999,114,4000000,5.8,Drama
Confessions of a Dangerous Mind,2002,113,29000000,7.1,Drama
Confessions of a Teenage Drama Queen,2004,89,15000000,4.4,Comedy
Confidence,2003,97,15000000,6.8,Drama
Congo,1995,109,50000000,4.4,Action
Connecting Dots,2003,95,500000,7.7,Drama
Conspiracy Theory,1997,135,75000000,6.4,Romance
Constantine,2005,121,100000000,6.4,Drama
Contact,1997,153,90000000,7.3,Drama
"Contender, The",2000,126,9000000,6.9,Drama
Control de plagas,2004,14,5000,8.1,Short
Cool as Ice,1991,100,6000000,2.4,Romance
Cop Land,1997,116,15000000,6.7,Drama
Copycat,1995,123,20000000,6.5,Drama
Coral Reef Adventure,2003,45,10000000,6.2,Short
"Core, The",2003,135,74000000,5.4,Drama
Corky Romano,2001,86,11000000,4.6,Comedy
Corner of Your Eye,2003,96,100000,5.2,Romance
Coronado,2003,88,4700000,4.5,Comedy
"Coronel no tiene quien le escriba, El",1999,122,3000000,6.9,Drama
Cotton Mary,1999,124,3500000,5.3,Drama
"Count of Monte Cristo, The",2002,134,35000000,7.4,Drama
"Country Bears, The",2002,88,35000000,3.7,Comedy
Country of My Skull,2004,104,12000000,5.1,Drama
Courage Under Fire,1996,117,46000000,6.7,Drama
Cover Up,1991,87,7500000,3.3,Action
Cowboys & Angels,2003,89,2000000,7.5,Drama
Coyote Ugly,2000,100,45000000,5.4,Romance
Crab Boy,1996,11,17000,2.1,Short
Cradle 2 the Grave,2003,101,25000000,5.3,Action
Cradle Will Rock,1999,132,32000000,6.7,Drama
"Craft, The",1996,101,15000000,5.9,Drama
Crank Calls,2002,10,40000,6.8,Short
Crash,2004,113,6500000,8.3,Drama
Crazy Love,2004,7,2000,9.2,Short
Crazy in Alabama,1999,111,15000000,6.1,Drama
Crazy/Beautiful,2001,135,14000000,6.5,Romance
"Creepees vs. Robot Monster Number Two, The",2004,15,0,1.2,Short
Creepy Tales: Girls Night Out,2003,115,30000,1.8,Unknown
Cremaster 2,1999,79,1700000,6.5,Drama
"Crew, The",2000,84,23000000,5.3,Comedy
"Crier, The",1995,78,250000,3.3,Unknown
Crime Partners 2000,2001,102,250000,4.4,Unknown
Crime Spree,2003,98,10000000,6.3,Comedy
"Crimen del padre Amaro, El",2002,118,1800000,7,Romance
Crimson Tide,1995,116,53000000,7.1,Drama
Critical Care,1997,107,12000000,5.8,Drama
Crocodile Dundee in Los Angeles,2001,92,25000000,4.7,Drama
"Crocodile Hunter: Collision Course, The",2002,90,13000000,5.3,Comedy
Crooklyn,1994,115,14000000,6.2,Drama
Crop Circles: Quest for Truth,2002,115,750000,7.2,Documentary
"Crop, The",2004,103,40000,6.6,Comedy
Crossroads,2002,93,12000000,3.1,Romance
"Crow, The",1994,98,15000000,7.2,Action
"Crow: City of Angels, The",1996,84,13000000,3.8,Action
"Crow: Salvation, The",2000,102,25000000,4.9,Drama
Cruel Intentions,1999,97,11000000,6.5,Romance
Crutch,2004,88,500000,6.2,Drama
Cry-Baby,1990,85,11000000,6,Romance
Cultivision (Collapsing Stars),2002,88,1000,8.4,Comedy
Cupid's Mistake,2001,70,0,8.1,Unknown
Curdled,1996,88,2309723,5.5,Comedy
Curiosity & the Cat,1999,80,45000,4.1,Unknown
Curly Sue,1991,101,30000000,4.7,Drama
"Curse of El Charro, The",2004,90,200000,6,Unknown
"Curse of the Jade Scorpion, The",2001,103,26000000,6.8,Drama
Curse of the Puppet Master,1998,77,250000,2.7,Unknown
Cursed,2005,97,35000000,4.7,Unknown
Cusp,2000,25,60000,7.3,Short
"Custodial Code, The",2003,15,12000,9.7,Short
Cutaway,2000,104,9000000,5.1,Action
Cutthroat Island,1995,119,92000000,5.1,Romance
Cypher,2002,95,7500000,7.2,Action
D-Tox,2002,92,55000000,4.7,Drama
D.E.B.S.,2004,91,3500000,6,Comedy
D.I.Y. or Die: How to Survive as an Independent Artist,2002,55,5000,9.4,Documentary
Daddy Cool,2002,85,150000,5.7,Unknown
Daddy Day Care,2003,92,60000000,5.7,Comedy
Daddy and Them,2001,101,4000000,5,Drama
Dagon,2001,97,4800000,6,Unknown
"Dalton, Les",2004,86,27000000,2.7,Comedy
"Damned, The",2001,90,30000,2.2,Unknown
Dance Lexie Dance,1996,14,75000,4,Short
Dances with Wolves,1990,236,19000000,7.8,Drama
Dancing in September,2000,102,850000,6.4,Drama
"Dangerous Lives of Altar Boys, The",2002,105,12000000,7.2,Drama
Dante's Peak,1997,104,104000000,5.6,Drama
Darcy's Off-White Wedding,2005,10,7000,9.4,Short
Daredevil,2003,133,75000000,5.7,Action
"Dark Agent and the Passing of the Torch Chapter 7, The",2004,13,10000,9.2,Short
Dark Blue,2002,118,15000000,6.6,Drama
Dark City,1998,100,27000000,7.6,Unknown
"Dark Half, The",1993,122,15000000,5.5,Unknown
Dark Heaven,2002,87,80000,2.4,Unknown
Darklands,1996,90,750000,4,Drama
Darkman,1990,96,16000000,6.1,Action
Darkness Falls,2003,86,11000000,4.5,Unknown
Darkness Minus Twelve,2004,12,4400,8.9,Short
"Date, The",2004,12,3000,9.2,Short
David & Dee,2004,18,50000,8.6,Short
David Nelson Live,2000,42,0,9.7,Short
David Searching,1997,101,22500,7.3,Drama
Dawn of the Dead,2004,109,28000000,7.4,Drama
Dawn of the Friend,2004,22,10000,6.2,Short
"Day After Tomorrow, The",2004,124,125000000,6.3,Drama
"Day Without a Mexican, A",2004,100,1500000,5,Drama
Day of Defense,2003,102,500000,3,Drama
Day of Independence,2003,27,200000,2.8,Short
Dayereh,2000,90,10000,7.1,Drama
Daylight,1996,110,80000000,5.4,Drama
Days of Thunder,1990,107,60000000,5.4,Romance
Dead Babies,2000,100,1000000,4.3,Comedy
Dead End Road,2004,94,100000,5.8,Action
"Dead Hate the Living!, The",2000,90,150000,4.3,Comedy
Dead Man,1995,120,9000000,7.6,Unknown
Dead Man Walking,1995,122,11000000,7.6,Drama
Dead Man on Campus,1998,96,14000000,5.4,Comedy
Dead Man's Curve,1998,90,1000000,5.7,Drama
Dead Presidents,1995,119,15000000,6.3,Drama
Dead Soul: A Fairy Tale,2001,30,8000,5,Short
Deadfall,2000,86,13000,5.4,Unknown
Deadly Stingers,2003,73,150000,5.5,Comedy
Death 4 Told,2004,96,85000,1.7,Unknown
Death Becomes Her,1992,99,55000000,5.6,Comedy
Death and the Compass,1992,96,3500000,6,Drama
"Death of Daniel Whately, The",2004,111,5000,6.6,Drama
Death to Smoochy,2002,109,55000000,6.3,Comedy
"Death, Can I Buy You a Drink?",2004,22,50000,8.9,Short
"Debtors, The",1999,90,14000000,6.9,Comedy
Decay,1998,80,15000,6.5,Drama
Decision,1995,90,5000,8,Unknown
Deconstructing Harry,1997,96,20000000,7.1,Comedy
Decoys,2004,95,5000000,4.2,Comedy
Deep Blue,2003,91,5000000,7.2,Documentary
Deep Blue Sea,1999,105,78000000,5.5,Action
"Deep End of the Ocean, The",1999,106,40000000,5.9,Drama
"Deep End, The",2001,101,3000000,6.8,Drama
Deep Impact,1998,120,75000000,5.9,Drama
Deep Rising,1998,97,45000000,5.4,Action
"Defender, The",2004,90,6000000,6.3,Action
Defining Reason,2003,5,2000,8.3,Short
Delayed,2002,103,20000,2.6,Drama
Delivered,1998,93,1000000,5.1,Drama
Dellamorte Dellamore,1994,105,4000000,7.3,Romance
Delusion,1991,88,1000000,6,Unknown
Dementia: An Experiment in Terror,2004,85,300000,8.9,Unknown
"Demo Crew, The",2001,108,100000,2.5,Drama
"Demolitionist, The",1995,100,1000000,4.1,Action
Demon Knight,1995,92,12000000,6,Unknown
Demonium,2001,85,2200000,3.7,Unknown
Denial,1998,93,5000000,5.3,Drama
"Dentist II, The",1998,100,1800000,4.1,Unknown
Derailed,2002,89,18000000,3.4,Action
Derniers feux,2004,8,50000,9.7,Short
Desecration,1999,88,150000,4.3,Unknown
"Deserter, The",2003,75,35000,8,Drama
Desire,1993,95,1000000,4.5,Unknown
Desperado,1995,106,7000000,6.8,Action
Destino,2003,7,1500000,7.8,Short
"Detail, The",1997,87,200000,3.3,Action
Detective Fiction,2003,102,200000,4.9,Drama
Detention,2003,98,10000000,4.1,Drama
Deterrence,1999,101,800000,6.6,Drama
Detroit Rock City,1999,95,15000000,6,Comedy
Deuce Bigalow: Male Gigolo,1999,88,18000000,5.6,Comedy
Deuces Wild,2002,100,10000000,5.3,Drama
"Devil's Advocate, The",1997,144,57000000,7,Drama
"Devil's Own, The",1997,111,80000000,5.7,Drama
Devil's Pond,2003,92,5000000,5.6,Drama
Diary of a Mad Black Woman,2005,116,5500000,3.9,Drama
Dick,1999,94,13000000,6.3,Comedy
Dick Tracy,1990,105,47000000,5.7,Comedy
Dickie Roberts: Former Child Star,2003,98,17000000,5.5,Comedy
Die Another Day,2002,133,142000000,6.4,Action
Die Hard 2,1990,124,70000000,6.7,Action
Die Hard: With a Vengeance,1995,131,90000000,7,Action
Die xue jie tou,1990,126,3500000,7.6,Drama
Different,2004,11,5000,7.5,Short
"Different Loyalty, A",2004,96,13000000,5,Romance
Digimon: The Movie,2000,82,5000000,3.4,Animation
Dilemma,1997,83,2500000,3.9,Action
Dill Scallion,1999,91,500000,5.1,Comedy
Dimensia Minds Trilogy: The Reds,2004,8,1200,9.9,Short
Ding-a-ling-Less,2001,81,1000000,8.1,Comedy
Dinosaur,2000,82,127500000,6.3,Animation
"Diplomat, The",2002,29,77000,9,Short
Diplomatic Siege,1999,96,45000000,3.5,Action
Direct Order,2003,55,500000,5.8,Documentary
Dirty Diamonds,2002,10,0,9.1,Short
Dirty Pretty Things,2002,97,10000000,7.6,Drama
Dirty Work,1998,82,13000000,5.9,Comedy
"Disappearance of Andy Waxman, The",2004,25,30000,8.8,Short
Disc,2003,105,2000,7.5,Comedy
Disturbing Behavior,1998,84,15000000,5.1,Unknown
Divine Reality,2001,100,3000,7.1,Drama
Divine Secrets of the Ya-Ya Sisterhood,2002,116,27000000,5.5,Drama
Divorce: The Musical,2002,86,1500000,3.4,Comedy
Doctor Dolittle,1998,85,71500000,5.4,Comedy
Doctor Sleep,2002,108,10000000,6.2,Unknown
Dodgeball: A True Underdog Story,2004,92,20000000,6.6,Comedy
"Dog of Flanders, A",1999,100,7000000,6,Drama
Dogma,1999,130,10000000,7.3,Comedy
Doki-Doki,2003,34,5000,7.6,Short
Dom durakov,2002,104,2500000,6.8,Drama
Domestic Disturbance,2001,91,53000000,5.4,Drama
Dominion,1995,95,1300000,5,Drama
Don Juan DeMarco,1995,97,25000000,6.5,Romance
Don't Call Me Frankie,1993,70,40000,9.1,Unknown
Don't Look Back!,2003,89,2300000,1.3,Unknown
Don't Say a Word,2001,113,50000000,6.2,Drama
Donde acaban los caminos,2004,82,500000,8,Drama
Dong er shi er tiao,1997,14,2000,3.7,Short
Donnie Brasco,1997,127,35000000,7.6,Drama
Donnie Darko,2001,133,4500000,8.3,Drama
Doomed to Failure,2004,7,1000,7.8,Short
"Doors, The",1991,140,38000000,6.7,Drama
Doppelganger,1993,104,3000000,4.1,Unknown
Dos Blokes,2005,4,0,4.3,Short
Dot.Kill,2004,87,6000000,5,Unknown
Double Impact,1991,109,16000000,4.5,Action
Double Jeopardy,1999,105,40000000,5.9,Drama
Double Take,2001,91,24000000,4.8,Comedy
Double Tap,1997,87,8000000,5.3,Action
Double Whammy,2001,100,4000000,5.6,Drama
Doug's 1st Movie,1999,77,5000000,4.5,Comedy
Down,2001,110,15000000,4.5,Action
Down Time,2001,90,20000,3.5,Drama
Down and Out with the Dolls,2001,88,1200000,6,Comedy
Down to Earth,2001,87,30000000,5.1,Romance
Down to You,2000,91,9000000,4.7,Romance
Dr T and the Women,2000,122,12000000,4.8,Romance
Dr. Dolittle 2,2001,87,72000000,5.1,Comedy
Dr. Jekyll and Ms. Hyde,1995,90,8000000,4.2,Comedy
Dracula,1992,128,40000000,7.1,Romance
Dracula 2000,2000,99,28000000,4.9,Unknown
Drag,1993,40,25000,7.8,Short
Drag Queen Heist,2004,20,5000,8.6,Short
Dragon: The Bruce Lee Story,1993,119,14000000,6.7,Drama
Dragonfly,2002,104,60000000,5.8,Drama
Draw the Pirate,2004,7,50000,8.5,Short
Dream on Silly Dreamer,2005,40,65000,7.7,Short
Dream with the Fishes,1997,97,1000000,6.5,Drama
"Dream-Quest of Unknown Kadath, The",2003,100,5000,7.6,Animation
Dreamcatcher,2003,134,68000000,5.2,Unknown
Dreamer: The Movie,2004,93,23500,9,Drama
Drifting,2004,21,3000,9.9,Short
Driftwood,2003,20,5000,4.1,Short
Drive,1997,117,3500000,6.4,Comedy
Drive Me Crazy,1999,91,8000000,5.1,Romance
Drive-in Movie Memories,2001,57,225000,8.3,Documentary
Driven,2001,116,72000000,4.4,Drama
Drop Back Ten,2000,93,600000,4.8,Drama
Drop Squad,1994,86,2000000,3.9,Drama
Drop Zone,1994,101,45000000,5.5,Action
Drowning,2001,7,0,5,Short
Drowning Mona,2000,95,16000000,5.4,Comedy
Drum,2004,94,3600,4,Unknown
Drumline,2002,118,20000000,5.3,Romance
"Duck, Duck, Goose!",2005,21,20000,8.8,Short
"Dude, Where's My Car?",2000,83,13000000,4.6,Comedy
Dudley Do-Right,1999,77,22000000,3.6,Comedy
Due occhi diabolici,1990,120,9000000,5.3,Comedy
Duets,2000,112,15000000,5.8,Drama
Dumb & Dumber,1994,101,16000000,6.6,Comedy
Dumb and Dumberer: When Harry Met Lloyd,2003,85,19000000,3.3,Comedy
Dungeons & Dragons,2000,107,35000000,4,Action
Duplex,2003,89,40000000,5.7,Comedy
Dusting Cliff 7,1996,95,1300000,3.5,Drama
"Dying Gaul, The",2005,101,4000000,4.3,Romance
DysFunktional Family,2003,89,3000000,5.6,Documentary
E-mail,2000,109,1000000,4.1,Romance
Earl's Your Uncle,2004,19,10000,9.1,Short
East of Hope Street,1998,88,100000,5.6,Drama
Eating,2005,13,60000,9.1,Short
Eating Out,2004,90,50000,6.8,Comedy
Eban and Charley,2000,86,30000,4.5,Drama
Ed Mort,1997,102,1500000,6.8,Comedy
Ed Wood,1994,127,18000000,8,Drama
Ed and His Dead Mother,1993,86,1800000,5.3,Comedy
Eddie,1996,100,30000000,4.9,Comedy
Edgeplay,2004,110,80000,7.2,Documentary
Edges of the Lord,2001,95,7500000,7,Drama
Edmund,2004,18,10000,8.7,Short
Edtv,1999,122,60000000,6.2,Comedy
Edward Scissorhands,1990,105,20000000,7.7,Romance
Eight Legged Freaks,2002,99,30000000,5.5,Comedy
"Eighteenth Angel, The",1998,95,25000000,4.6,Action
Election,1999,103,8500000,7.4,Comedy
"Elegante, El",2003,17,2500,8.6,Short
Elektra,2005,96,43000000,4.9,Action
Elephant,2003,81,3000000,7.3,Drama
"Elephant's Egg, The",2004,15,30000,4.6,Short
Elevator Movie,2004,95,25000,6.1,Drama
Elf,2003,95,33000000,7,Comedy
Elizabeth,1998,124,25000000,7.6,Drama
Ella Enchanted,2004,96,35000000,6.5,Romance
Elliot Flies,2003,13,1000,4.9,Short
Elvira's Haunted Hills,2001,90,1500000,5.2,Comedy
"Embalmer, The",1996,85,50000,1.4,Unknown
Embrace of the Vampire,1994,93,800000,4.2,Unknown
Emma,1996,121,6000000,6.9,Romance
Emmett's Mark,2002,104,4500000,6.2,Drama
"Emperor's Club, The",2002,109,12500000,6.7,Drama
"Emperor's New Groove, The",2000,78,100000000,7.4,Comedy
Empire,2002,90,3500000,6,Drama
"Empty Building, The",2004,40,170000,9.5,Short
En la puta vida,2001,103,1500000,6.9,Drama
End of Days,1999,121,83000000,5.3,Action
"End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,60000,7.6,Documentary
"End of Violence, The",1997,122,5000000,5.4,Drama
"End of the Affair, The",1999,102,23000000,7,Romance
Enemy at the Gates,2001,131,70000000,7.3,Romance
Enemy of the State,1998,131,90000000,7.1,Drama
"Enemy, The",2003,34,250000,8.2,Short
"English Patient, The",1996,160,27000000,7.1,Romance
Enough,2002,115,38000000,4.9,Drama
"Enraged New World, An",2002,50,3500,8.9,Action
Entrapment,1999,113,66000000,6.1,Romance
Envy,2004,99,40000000,4.3,Comedy
"Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The",2003,27,6000,9.5,Short
Epiphany: Il inferno,2002,16,10000,8.8,Short
Equilibrium,2002,107,20000000,7.6,Action
"Era of Vampire, The",2002,90,1000000,4.2,Action
Eraser,1996,115,100000000,5.8,Drama
Erin Brockovich,2000,130,51000000,7.3,Drama
Ernest Rides Again,1993,96,7000000,3.6,Comedy
Err On the Side of Caution,1997,94,500000,6,Drama
Escanaba in da Moonlight,2001,91,1000000,5.5,Comedy
Escape from Chernobourg,1999,75,2000,3.7,Comedy
Escape from L.A.,1996,101,50000000,4.8,Action
"Espera, La",2002,72,100000,8.8,Drama
"Espinazo del diablo, El",2001,108,4500000,7.4,Drama
Eternal Embrace,2000,47,96000,9.6,Romance
Eternal Sunshine of the Spotless Mind,2004,108,20000000,8.6,Romance
Eulogy,2004,91,10000000,6.5,Drama
EuroTrip,2004,90,25000000,6.1,Comedy
Eve's Bayou,1997,109,5000000,7.2,Drama
Evelyn,2002,94,10000000,7.1,Drama
Even Cowgirls Get the Blues,1993,99,8000000,4,Romance
EvenHand,2002,92,500000,7.3,Drama
Event Horizon,1997,96,70000000,5.7,Unknown
Ever After,1998,121,26000000,7,Romance
Evergon,2002,32,20000,7.1,Short
"Everlasting Piece, An",2000,103,14000000,6.1,Comedy
Every Little Girl's Dream,2002,16,27000,7.3,Short
Everyone Says I Love You,1996,101,20000000,6.9,Romance
Everything Is Everything,2003,87,10000,8.3,Comedy
Everything Put Together,2000,87,500000,7.1,Drama
Everything in This Country Must,2004,20,250000,7.1,Short
Everything's Gone Green,2005,19,30000,9,Short
Everything's Jake,2000,92,900000,6.7,Drama
Evil Alien Conquerors,2002,89,500000,3.8,Comedy
Evil Cult,2003,90,15000,6.7,Comedy
Evita,1996,134,55000000,6.2,Drama
Evolution,2001,101,80000000,5.8,Comedy
Excessive Force,1993,90,13000000,4.2,Action
Executive Decision,1996,134,55000000,6.3,Action
Exit Wounds,2001,101,33000000,5.3,Action
Exorcist: The Beginning,2004,114,30000000,5,Action
Expiration,2003,102,50000,6.6,Romance
Exquisite Corpse,2004,60,3500,8.9,Drama
Extreme Measures,1996,118,38000000,5.9,Unknown
Extreme Ops,2002,94,40000000,4,Action
Eye for an Eye,1996,101,20000000,5.6,Drama
Eye of the Beholder,1999,109,15000000,4.5,Unknown
Eyes Wide Shut,1999,159,65000000,7,Drama
Facade,2000,93,6000000,4.8,Action
Face to Face,2003,92,8000,6,Drama
Face/Off,1997,133,80000000,7.1,Drama
Factotum,2005,94,1000000,6.8,Drama
"Faculty, The",1998,104,15000000,6.1,Unknown
Fahrenheit 9/11,2004,122,6000000,7.9,Documentary
Fair Game,1995,91,50000000,3.9,Drama
Fait d'hiver,2001,6,80000,7.4,Short
Faithful,1996,91,13000000,5.6,Comedy
Fake ID,2003,86,100000,3.6,Comedy
Fakers,2004,85,1800000,5.6,Comedy
Fall,1997,93,1000000,5.1,Romance
Fall,2000,97,2000000,1.5,Action
Falling Words,1997,19,8000,9.2,Short
"Falls, The",2003,85,75000,5.7,Drama
"Family Man, The",2000,125,60000000,6.5,Romance
"Fan, The",1996,114,55000000,5.4,Unknown
Fandom,2004,96,5000,9.2,Documentary
Fantasia/2000,1999,75,80000000,7.4,Animation
"Fantasma dell'opera, Il",1998,106,10000000,3.8,Romance
Far and Away,1992,140,30000000,6.2,Romance
Far from Heaven,2002,107,13500000,7.7,Romance
Far from India,2003,101,10000,6.1,Romance
Fargo,1996,98,7000000,8.2,Drama
Fascination,2004,95,5000000,3.3,Romance
"Fascist of X-Mart, The",2003,9,1000,5.1,Short
Fast Food High,2003,92,4500000,5.4,Romance
"Fast and the Furious, The",2001,106,38000000,5.7,Action
Father of the Bride Part II,1995,106,30000000,5.6,Comedy
Fathers' Day,1997,98,85000000,4.7,Comedy
Faust: Love of the Damned,2001,101,6000000,4.1,Unknown
Fear X,2003,91,6600000,5.9,Unknown
Fear and Loathing in Las Vegas,1998,118,18500000,7.2,Drama
Fear of the Dark,2001,150,30000,5.5,Drama
FearDotCom,2002,101,42000000,3.2,Unknown
Federal Hill,1994,97,80000,6.1,Unknown
Fei ying,2004,99,15000000,5.5,Action
Femme Fatale,2002,114,35000000,6.4,Unknown
Feng yun xiong ba tian xia,1998,85,10000000,6.3,Action
Festen,1998,105,1300000,8.2,Drama
Fever,1999,95,6000000,5.7,Unknown
Fever Pitch,2001,27,25000,5.8,Short
Fever Pitch,2005,98,39690000,6.6,Romance
"Few Good Men, A",1992,138,33000000,7.5,Drama
"Fifteen Minute Show, The",2003,87,3500,8.9,Comedy
"Fifth Element, The",1997,126,90000000,7.1,Drama
Fight Club,1999,139,63000000,8.5,Drama
Film Geek,2005,78,10000,9.3,Comedy
Film School Confidential,2002,82,75000,6.4,Unknown
Final,2001,111,80000,5.2,Drama
Final Destination,2000,98,23000000,6.6,Unknown
Final Destination 2,2003,90,26000000,6.3,Unknown
Final Fantasy: The Spirits Within,2001,106,137000000,6.5,Animation
Final Sale,2004,14,20000,6.7,Short
Final Solution,2001,110,1500000,7,Drama
Finding Forrester,2000,136,43000000,7.3,Drama
Finding Graceland,1998,106,10000000,6.6,Drama
Finding Nemo,2003,100,94000000,8.3,Drama
Finding Neo,2004,12,8500,6.8,Short
Fine and Dandy,2003,6,1000,7.2,Short
Fintar o Destino,1998,77,850000,6.2,Drama
Fire Dancer,2002,79,1000000,8.2,Drama
Fire Over Afghanistan,2003,92,155000,4.5,Drama
Firestorm,1998,89,19000000,4.4,Action
"Firm, The",1993,154,42000000,6.6,Drama
First Knight,1995,134,75000000,5.6,Romance
"First Love, Last Rites",1997,94,300000,5,Romance
"First Power, The",1990,98,10000000,4.8,Unknown
"First Wives Club, The",1996,103,26000000,5.6,Comedy
"First of May, The",1999,111,2500000,7.1,Drama
Fish Burglars,2004,25,15000,8.2,Short
Fish in a Barrel,2001,85,200000,5.5,Drama
"Fisher King, The",1991,137,24000000,7.4,Romance
Fishing for Trauster,2004,24,20000,8.2,Short
Fiza,2000,167,1000000,7.1,Drama
"Flats, The",2002,102,500000,7.2,Drama
Flawless,1999,112,27000000,6.1,Drama
Flesh Suitcase,1995,90,1000000,5.2,Unknown
Flight of the Phoenix,2004,113,45000000,6,Action
"Flintstones in Viva Rock Vegas, The",2000,90,58000000,3.7,Comedy
"Flintstones, The",1994,91,45000000,4.5,Comedy
Flip,2004,15,8000,9.1,Short
Flirting with Disaster,1996,92,7000000,7,Comedy
Flossin,2001,81,86000,7.9,Unknown
"Flying Dutchman, The",2001,89,2000000,3.6,Unknown
Focus Group,2004,29,8000,9.5,Short
Follow Me Home,1996,100,220000,7.6,Drama
Follow Me Outside,2000,94,1000000,4.6,Unknown
Following,1998,69,6000,7.6,Unknown
Fomlesen i kattepine,1999,83,2400000,4.6,Unknown
For Caroline,2002,18,60000,6.7,Short
For Love of the Game,1999,137,50000000,6.1,Romance
Foreign Correspondents,1999,102,500000,7.6,Romance
"Foreigner, The",2003,96,20000000,3.1,Action
Forever Lulu,2000,99,20000000,5.5,Romance
"Forgotten, The",2004,94,42000000,5.8,Drama
Forrest Gump,1994,142,55000000,8.2,Drama
"Forsaken, The",2001,90,5000000,5.1,Unknown
Fortress,1993,95,12000000,5.3,Action
Fortress 2,1999,92,11000000,4.2,Action
Forty Shades of Blue,2005,108,1500000,4.2,Unknown
Four Dead Batteries,2004,96,77000,8.7,Comedy
"Four Feathers, The",2002,125,80000000,6.2,Drama
Four Rooms,1995,98,4000000,6,Drama
Four Weddings and a Funeral,1994,117,6000000,7.2,Romance
Four.50,2003,6,5000,4.7,Short
Frailty,2001,100,11000000,7.4,Drama
Frame of Mind,2003,20,30000,7,Short
Francine St. Claire's Mail,2002,24,10000,6,Short
Frankenfish,2004,84,3000000,4.6,Comedy
Frankenhooker,1990,85,2500000,5,Comedy
Frankenstein,1994,123,45000000,6,Drama
Freaked,1993,86,11000000,5.4,Comedy
Freaky Friday,2003,97,26000000,6.9,Drama
Freddy Got Fingered,2001,87,15000000,3.5,Comedy
Freddy Vs. Jason,2003,97,25000000,6.1,Action
Freddy's Dead: The Final Nightmare,1991,93,5000000,4.3,Comedy
Free Money,1998,91,30000000,4.7,Comedy
Freedom Downtime,2001,121,25000,8,Documentary
Freeway,1996,102,3000000,6.5,Drama
Freeway II: Confessions of a Trickbaby,1999,90,2000000,4.6,Drama
Freeze Frame,2004,99,2000000,5.8,Drama
Frei parken,1998,7,2000,5.8,Short
Frequency,2000,118,31000000,7.4,Drama
Freud and Darwin Sitting in a Tree,2000,27,17000,8.3,Short
Frida,2002,123,12000000,7.5,Drama
Friday,1995,91,3500000,6.7,Drama
